YEAR,DATE,TOPIC,NAME,MOE,SUBPOP,SUBPOPID,CHOICE,PARTY,VALUE,OBS,STATE
2012,2011-11-21,2012-president,2012 Kansas President: Romney vs. Obama,4.4,Registered Voters,1,Undecided,,13.0,510,KS
2012,2011-11-21,2012-president,2012 Kansas President: Romney vs. Obama,4.4,Registered Voters,1,Obama,Dem,39.0,510,KS
2012,2011-11-10,2012-president,2012 Kansas President: Romney vs. Obama,3.5,Likely Voters,1,Undecided,,12.0,800,KS
2012,2011-11-10,2012-president,2012 Kansas President: Romney vs. Obama,3.5,Likely Voters,1,Obama,Dem,31.0,800,KS
2012,2011-11-10,2012-president,2012 Kansas President: Romney vs. Obama,3.5,Likely Voters,1,Romney,Rep,56.0,800,KS
2012,2012-10-26,2012-president,2012 Hawaii President: Romney vs. Obama,2.8,Likely Voters,1,Undecided,,5.0,1218,HI
2012,2012-10-26,2012-president,2012 Hawaii President: Romney vs. Obama,2.8,Likely Voters,1,Obama,Dem,61.0,1218,HI
2012,2012-10-26,2012-president,2012 Hawaii President: Romney vs. Obama,2.8,Likely Voters,1,Romney,Rep,34.0,1218,HI
2012,2012-09-28,2012-president,2012 Hawaii President: Romney vs. Obama,2.4,Likely Voters,1,Other,,3.0,1684,HI
2012,2012-09-28,2012-president,2012 Hawaii President: Romney vs. Obama,2.4,Likely Voters,1,Romney,Rep,30.0,1684,HI
2012,2012-09-28,2012-president,2012 Hawaii President: Romney vs. Obama,2.4,Likely Voters,1,Obama,Dem,62.0,1684,HI
2012,2012-09-28,2012-president,2012 Hawaii President: Romney vs. Obama,2.4,Likely Voters,1,Undecided,,6.0,1684,HI
2012,2011-10-16,2012-president,2012 Hawaii President: Romney vs. Obama,4.1,Likely Voters,1,Undecided,,10.0,568,HI
2012,2011-10-16,2012-president,2012 Hawaii President: Romney vs. Obama,4.1,Likely Voters,1,Obama,Dem,59.0,568,HI
2012,2011-10-16,2012-president,2012 Hawaii President: Romney vs. Obama,4.1,Likely Voters,1,Romney,Rep,32.0,568,HI
2012,2012-04-28,2012-president,2012 West Virginia President: Romney vs. Obama,4.8,Likely Voters,1,Undecided,,10.0,410,WV
2012,2012-04-28,2012-president,2012 West Virginia President: Romney vs. Obama,4.8,Likely Voters,1,Obama,Dem,37.0,410,WV
2012,2012-04-28,2012-president,2012 West Virginia President: Romney vs. Obama,4.8,Likely Voters,1,Romney,Rep,54.0,410,WV
2012,2012-04-28,2012-senate,2012 West Virginia Senate: Manchin vs. Raese,4.8,Likely Voters,1,Undecided,,4.0,410,WV
2012,2012-04-28,2012-senate,2012 West Virginia Senate: Manchin vs. Raese,4.8,Likely Voters,1,Manchin,Dem,74.0,410,WV
2012,2012-04-28,2012-senate,2012 West Virginia Senate: Manchin vs. Raese,4.8,Likely Voters,1,Raese,Rep,22.0,410,WV
2012,2012-04-28,,2012 West Virginia Gubernatorial GE,4.8,Likely Voters,1,Tomblin,Dem,60.0,410,
2012,2012-04-28,,2012 West Virginia Gubernatorial GE,4.8,Likely Voters,1,Undecided,,8.0,410,
2012,2012-04-28,,2012 West Virginia Gubernatorial GE,4.8,Likely Voters,1,Maloney,Rep,32.0,410,
2012,2012-08-25,2012-senate,2012 West Virginia Senate: Manchin vs. Raese,4.9,Likely Voters,1,Undecided,,7.0,401,WV
2012,2012-08-25,2012-senate,2012 West Virginia Senate: Manchin vs. Raese,4.9,Likely Voters,1,Manchin,Dem,66.0,401,WV
2012,2012-08-25,2012-senate,2012 West Virginia Senate: Manchin vs. Raese,4.9,Likely Voters,1,Raese,Rep,27.0,401,WV
2012,2012-08-25,,2012 West Virginia Gubernatorial GE,4.9,Likely Voters,1,Tomblin,Dem,56.0,401,
2012,2012-08-25,,2012 West Virginia Gubernatorial GE,4.9,Likely Voters,1,Undecided,,9.0,401,
2012,2012-08-25,,2012 West Virginia Gubernatorial GE,4.9,Likely Voters,1,Maloney,Rep,35.0,401,
2012,2012-08-25,2012-president,2012 West Virginia President: Romney vs. Obama,4.9,Likely Voters,1,Romney,Rep,52.0,401,WV
2012,2012-08-25,2012-president,2012 West Virginia President: Romney vs. Obama,4.9,Likely Voters,1,Undecided,,10.0,401,WV
2012,2012-08-25,2012-president,2012 West Virginia President: Romney vs. Obama,4.9,Likely Voters,1,Obama,Dem,38.0,401,WV
2012,2012-08-25,,2014 West Virginia Senate GE,4.9,Likely Voters,1,Rockefeller,Dem,44.0,401,
2012,2012-08-25,,2014 West Virginia Senate GE,4.9,Likely Voters,1,Undecided,,8.0,401,
2012,2012-08-25,,2014 West Virginia Senate GE,4.9,Likely Voters,1,Capito,Rep,48.0,401,
2012,2012-06-27,2012-president,2012 Alabama President: Romney vs. Obama,4.2,Likely Voters,1,Romney,Rep,51.0,551,AL
2012,2012-06-27,2012-president,2012 Alabama President: Romney vs. Obama,4.2,Likely Voters,1,Obama,Dem,36.0,551,AL
2012,2012-10-31,2012-president,2012 Utah President: Romney vs. Obama,4.0,Registered Voters,1,Romney,Rep,70.0,625,UT
2012,2012-10-31,2012-president,2012 Utah President: Romney vs. Obama,4.0,Registered Voters,1,Obama,Dem,25.0,625,UT
2012,2012-10-31,2012-president,2012 Utah President: Romney vs. Obama,4.0,Registered Voters,1,Undecided,,3.0,625,UT
2012,2012-10-31,2012-president,2012 Utah President: Romney vs. Obama,4.0,Registered Voters,1,Other,,2.0,625,UT
2012,2012-11-01,2012-president,2012 Utah President: Romney vs. Obama,3.4,Registered Voters,1,Obama,Dem,26.0,870,UT
2012,2012-11-01,2012-president,2012 Utah President: Romney vs. Obama,3.4,Registered Voters,1,Romney,Rep,69.0,870,UT
2012,2012-10-13,2012-president,2012 Utah President: Romney vs. Obama,4.4,Likely Voters,1,Undecided,,9.0,500,UT
2012,2012-10-13,2012-president,2012 Utah President: Romney vs. Obama,4.4,Likely Voters,1,Obama,Dem,20.0,500,UT
2012,2012-10-13,2012-president,2012 Utah President: Romney vs. Obama,4.4,Likely Voters,1,Romney,Rep,71.0,500,UT
2012,2012-10-13,2012-senate,2012 Utah Senate: Hatch vs. Howell,4.4,Likely Voters,1,Howell,Dem,22.0,500,UT
2012,2012-10-13,2012-senate,2012 Utah Senate: Hatch vs. Howell,4.4,Likely Voters,1,Undecided,,17.0,500,UT
2012,2012-10-13,2012-senate,2012 Utah Senate: Hatch vs. Howell,4.4,Likely Voters,1,Hatch,Rep,61.0,500,UT
2012,2012-10-13,2012-governor,2012 Utah Governor: Herbert vs. Cooke,4.4,Likely Voters,1,Herbert,Rep,65.0,500,UT
2012,2012-10-13,2012-governor,2012 Utah Governor: Herbert vs. Cooke,4.4,Likely Voters,1,Undecided,,15.0,500,UT
2012,2012-10-13,2012-governor,2012 Utah Governor: Herbert vs. Cooke,4.4,Likely Voters,1,Cooke,Dem,19.0,500,UT
2012,2011-07-10,2012-president,2012 Utah President: Romney vs. Obama,3.6,Likely Voters,1,Romney,Rep,63.0,732,UT
2012,2011-07-10,2012-president,2012 Utah President: Romney vs. Obama,3.6,Likely Voters,1,Undecided,,6.0,732,UT
2012,2011-07-10,2012-president,2012 Utah President: Romney vs. Obama,3.6,Likely Voters,1,Obama,Dem,31.0,732,UT
2012,2011-07-10,obama-job-approval,Utah: Obama Job Approval,3.6,Likely Voters,1,Approve,,32.0,732,UT
2012,2011-07-10,obama-job-approval,Utah: Obama Job Approval,3.6,Likely Voters,1,Disapprove,,62.0,732,UT
2012,2011-07-10,obama-job-approval,Utah: Obama Job Approval,3.6,Likely Voters,1,Undecided,,6.0,732,UT
2012,2012-06-21,2012-president,2012 Utah President: Romney vs. Obama,2.8,Registered Voters,1,Undecided,,2.0,1222,UT
2012,2012-06-21,2012-president,2012 Utah President: Romney vs. Obama,2.8,Registered Voters,1,Other,,4.0,1222,UT
2012,2012-06-21,2012-president,2012 Utah President: Romney vs. Obama,2.8,Registered Voters,1,Romney,Rep,68.0,1222,UT
2012,2012-06-21,2012-president,2012 Utah President: Romney vs. Obama,2.8,Registered Voters,1,Obama,Dem,26.0,1222,UT
2012,2012-11-03,2012-senate,2012 Maryland Senate: Bongino vs. Cardin,,Likely Voters,1,Undecided,,9.0,654,MD
2012,2012-11-03,2012-senate,2012 Maryland Senate: Bongino vs. Cardin,,Likely Voters,1,Bongino,Rep,34.0,654,MD
2012,2012-11-03,2012-senate,2012 Maryland Senate: Bongino vs. Cardin,,Likely Voters,1,Cardin,Dem,57.0,654,MD
2012,2012-11-03,2012-president,2012 Maryland President: Romney vs. Obama,,Likely Voters,1,Romney,Rep,37.0,705,MD
2012,2012-11-03,2012-president,2012 Maryland President: Romney vs. Obama,,Likely Voters,1,Obama,Dem,59.0,705,MD
2012,2012-11-03,2012-president,2012 Maryland President: Romney vs. Obama,,Likely Voters,1,Undecided,,2.0,705,MD
2012,2012-11-03,2012-president,2012 Maryland President: Romney vs. Obama,,Likely Voters,1,Other,,2.0,705,MD
2012,2012-10-23,2012-senate,2012 Maryland Senate: Bongino vs. Cardin,3.5,Likely Voters,1,Sobhani,ind,14.0,801,MD
2012,2012-10-23,2012-senate,2012 Maryland Senate: Bongino vs. Cardin,3.5,Likely Voters,1,Cardin,Dem,50.0,801,MD
2012,2012-10-23,2012-senate,2012 Maryland Senate: Bongino vs. Cardin,3.5,Likely Voters,1,Other,,10.0,801,MD
2012,2012-10-23,2012-senate,2012 Maryland Senate: Bongino vs. Cardin,3.5,Likely Voters,1,Bongino,Rep,24.0,801,MD
2012,2012-10-23,2012-president,2012 Maryland President: Romney vs. Obama,3.5,Likely Voters,1,Undecided,,8.0,801,MD
2012,2012-10-23,2012-president,2012 Maryland President: Romney vs. Obama,3.5,Likely Voters,1,Obama,Dem,55.0,801,MD
2012,2012-10-23,2012-president,2012 Maryland President: Romney vs. Obama,3.5,Likely Voters,1,Romney,Rep,36.0,801,MD
2012,2012-10-15,2012-president,2012 Maryland President: Romney vs. Obama,4.0,Likely Voters,1,Romney,Rep,36.0,843,MD
2012,2012-10-15,2012-president,2012 Maryland President: Romney vs. Obama,4.0,Likely Voters,1,Obama,Dem,60.0,843,MD
2012,2012-10-15,2012-president,2012 Maryland President: Romney vs. Obama,4.0,Likely Voters,1,Undecided,,2.0,843,MD
2012,2012-10-15,2012-president,2012 Maryland President: Romney vs. Obama,4.0,Likely Voters,1,Other,,2.0,843,MD
2012,2012-10-15,2012-senate,2012 Maryland Senate: Bongino vs. Cardin,4.0,Likely Voters,1,Sobhani,ind,14.0,843,MD
2012,2012-10-15,2012-senate,2012 Maryland Senate: Bongino vs. Cardin,4.0,Likely Voters,1,Cardin,Dem,53.0,843,MD
2012,2012-10-15,2012-senate,2012 Maryland Senate: Bongino vs. Cardin,4.0,Likely Voters,1,Undecided,,7.0,843,MD
2012,2012-10-15,2012-senate,2012 Maryland Senate: Bongino vs. Cardin,4.0,Likely Voters,1,Other,,3.0,843,MD
2012,2012-10-15,2012-senate,2012 Maryland Senate: Bongino vs. Cardin,4.0,Likely Voters,1,Bongino,Rep,22.0,843,MD
2012,2012-10-15,obama-job-approval,Maryland: Obama Job Approval,4.0,Registered Voters,1,Approve,,61.0,934,MD
2012,2012-10-15,obama-job-approval,Maryland: Obama Job Approval,4.0,Registered Voters,1,Disapprove,,36.0,934,MD
2012,2012-10-15,obama-job-approval,Maryland: Obama Job Approval,4.0,Registered Voters,1,Undecided,,3.0,934,MD
2012,2012-10-11,2012-president,2012 Maryland President: Romney vs. Obama,5.2,Likely Voters,1,Romney,Rep,37.0,498,MD
2012,2012-10-11,2012-president,2012 Maryland President: Romney vs. Obama,5.2,Likely Voters,1,Obama,Dem,58.0,498,MD
2012,2012-10-11,2012-president,2012 Maryland President: Romney vs. Obama,5.2,Likely Voters,1,Undecided,,4.0,498,MD
2012,2012-10-11,2012-president,2012 Maryland President: Romney vs. Obama,5.2,Likely Voters,1,Other,,2.0,498,MD
2012,2012-10-11,2012-senate,2012 Maryland Senate: Bongino vs. Cardin,5.2,Likely Voters,1,Cardin,Dem,54.0,478,MD
2012,2012-10-11,2012-senate,2012 Maryland Senate: Bongino vs. Cardin,5.2,Likely Voters,1,Undecided,,17.0,478,MD
2012,2012-10-11,2012-senate,2012 Maryland Senate: Bongino vs. Cardin,5.2,Likely Voters,1,Bongino,Rep,30.0,478,MD
2012,2012-09-27,2012-president,2012 Maryland President: Romney vs. Obama,3.5,Likely Voters,1,Romney,Rep,34.0,804,MD
2012,2012-09-27,2012-president,2012 Maryland President: Romney vs. Obama,3.5,Likely Voters,1,Undecided,,10.0,804,MD
2012,2012-09-27,2012-president,2012 Maryland President: Romney vs. Obama,3.5,Likely Voters,1,Obama,Dem,57.0,804,MD
2012,2012-09-23,2012-senate,2012 Maryland Senate: Bongino vs. Cardin,3.5,Likely Voters,1,Bongino,Rep,22.0,813,MD
2012,2012-09-23,2012-senate,2012 Maryland Senate: Bongino vs. Cardin,3.5,Likely Voters,1,Undecided,,8.0,813,MD
2012,2012-09-23,2012-senate,2012 Maryland Senate: Bongino vs. Cardin,3.5,Likely Voters,1,Cardin,Dem,50.0,813,MD
2012,2012-09-23,2012-senate,2012 Maryland Senate: Bongino vs. Cardin,3.5,Likely Voters,1,Sobhani,ind,21.0,813,MD
2012,2012-09-23,2012-president,2012 Maryland President: Romney vs. Obama,3.5,Likely Voters,1,Romney,Rep,36.0,813,MD
2012,2012-09-23,2012-president,2012 Maryland President: Romney vs. Obama,3.5,Likely Voters,1,Obama,Dem,55.0,813,MD
2012,2012-09-23,2012-president,2012 Maryland President: Romney vs. Obama,3.5,Likely Voters,1,Undecided,,8.0,813,MD
2012,2012-09-23,2012-president,2012 Maryland President: Romney vs. Obama,3.5,Likely Voters,1,Other,,1.0,813,MD
2012,2012-09-14,2012-president,2012 Maryland President: Romney vs. Obama,,Likely Voters,1,Romney,Rep,37.0,686,MD
2012,2012-09-14,2012-president,2012 Maryland President: Romney vs. Obama,,Likely Voters,1,Obama,Dem,57.0,686,MD
2012,2012-09-14,2012-president,2012 Maryland President: Romney vs. Obama,,Likely Voters,1,Undecided,,3.0,686,MD
2012,2012-09-14,2012-president,2012 Maryland President: Romney vs. Obama,,Likely Voters,1,Other,,3.0,686,MD
2012,2012-09-14,2012-senate,2012 Maryland Senate: Bongino vs. Cardin,,Likely Voters,1,Bongino,Rep,32.0,658,MD
2012,2012-09-14,2012-senate,2012 Maryland Senate: Bongino vs. Cardin,,Likely Voters,1,Cardin,Dem,50.0,658,MD
2012,2012-09-14,2012-senate,2012 Maryland Senate: Bongino vs. Cardin,,Likely Voters,1,Undecided,,19.0,658,MD
2012,2012-05-21,2012-president,2012 Maryland President: Romney vs. Obama,3.4,Likely Voters,1,Romney,Rep,35.0,852,MD
2012,2012-05-21,2012-president,2012 Maryland President: Romney vs. Obama,3.4,Likely Voters,1,Undecided,,6.0,852,MD
2012,2012-05-21,2012-president,2012 Maryland President: Romney vs. Obama,3.4,Likely Voters,1,Obama,Dem,58.0,852,MD
2012,2012-10-24,2012-president,2012 Oklahoma President: Romney vs. Obama,5.61,Likely Voters,1,Romney,Rep,58.0,305,OK
2012,2012-10-24,2012-president,2012 Oklahoma President: Romney vs. Obama,5.61,Likely Voters,1,Undecided,,8.0,305,OK
2012,2012-10-24,2012-president,2012 Oklahoma President: Romney vs. Obama,5.61,Likely Voters,1,Obama,Dem,33.0,305,OK
2012,2012-08-14,2012-president,2012 Oklahoma President: Romney vs. Obama,4.4,Likely Voters,1,Undecided,,13.0,495,OK
2012,2012-08-14,2012-president,2012 Oklahoma President: Romney vs. Obama,4.4,Likely Voters,1,Obama,Dem,29.0,495,OK
2012,2012-08-14,2012-president,2012 Oklahoma President: Romney vs. Obama,4.4,Likely Voters,1,Romney,Rep,58.0,495,OK
2012,2012-05-10,2012-president,2012 Oklahoma President: Romney vs. Obama,4.4,Likely Voters,1,Romney,Rep,62.0,503,OK
2012,2012-05-10,2012-president,2012 Oklahoma President: Romney vs. Obama,4.4,Likely Voters,1,Undecided,,11.0,503,OK
2012,2012-05-10,2012-president,2012 Oklahoma President: Romney vs. Obama,4.4,Likely Voters,1,Obama,Dem,27.0,503,OK
2012,2012-10-28,2012-senate,2012 North Dakota Senate: Berg vs. Heitkamp,4.0,Likely Voters,1,Berg,Rep,47.0,625,ND
2012,2012-10-28,2012-senate,2012 North Dakota Senate: Berg vs. Heitkamp,4.0,Likely Voters,1,Heitkamp,Dem,45.0,625,ND
2012,2012-10-28,2012-senate,2012 North Dakota Senate: Berg vs. Heitkamp,4.0,Likely Voters,1,Undecided,,8.0,625,ND
2012,2012-10-28,2012-governor,2012 North Dakota Governor: Dalrymple vs. Taylor,4.0,Likely Voters,1,Undecided,,8.0,625,ND
2012,2012-10-28,2012-governor,2012 North Dakota Governor: Dalrymple vs. Taylor,4.0,Likely Voters,1,Dalrymple,Rep,62.0,625,ND
2012,2012-10-28,2012-governor,2012 North Dakota Governor: Dalrymple vs. Taylor,4.0,Likely Voters,1,Taylor,Dem,28.0,625,ND
2012,2012-10-28,2012-president,2012 North Dakota President: Romney vs. Obama,4.0,Likely Voters,1,Romney,Rep,54.0,625,ND
2012,2012-10-28,2012-president,2012 North Dakota President: Romney vs. Obama,4.0,Likely Voters,1,Undecided,,3.0,625,ND
2012,2012-10-28,2012-president,2012 North Dakota President: Romney vs. Obama,4.0,Likely Voters,1,Obama,Dem,40.0,625,ND
2012,2012-10-28,2012-house,2012 North Dakota House: At-Large Distict,4.0,Likely Voters,1,Gulleson,Dem,40.0,625,ND
2012,2012-10-28,2012-house,2012 North Dakota House: At-Large Distict,4.0,Likely Voters,1,Undecided,,8.0,625,ND
2012,2012-10-28,2012-house,2012 North Dakota House: At-Large Distict,4.0,Likely Voters,1,Cramer,Rep,50.0,625,ND
2012,2012-10-28,2012-president,2012 North Dakota President: Romney vs. Obama,3.6,Likely Voters,1,Obama,Dem,38.0,752,ND
2012,2012-10-28,2012-president,2012 North Dakota President: Romney vs. Obama,3.6,Likely Voters,1,Romney,Rep,55.0,752,ND
2012,2012-10-28,2012-senate,2012 North Dakota Senate: Berg vs. Heitkamp,3.6,Likely Voters,1,Berg,Rep,48.0,752,ND
2012,2012-10-28,2012-senate,2012 North Dakota Senate: Berg vs. Heitkamp,3.6,Likely Voters,1,Heitkamp,Dem,50.0,752,ND
2012,2012-10-28,2012-house,2012 North Dakota House: At-Large Distict,3.6,Likely Voters,1,Gulleson,Dem,41.0,752,ND
2012,2012-10-28,2012-house,2012 North Dakota House: At-Large Distict,3.6,Likely Voters,1,Cramer,Rep,55.0,752,ND
2012,2012-10-28,2012-governor,2012 North Dakota Governor: Dalrymple vs. Taylor,3.6,Likely Voters,1,Taylor,Dem,34.0,752,ND
2012,2012-10-28,2012-governor,2012 North Dakota Governor: Dalrymple vs. Taylor,3.6,Likely Voters,1,Dalrymple,Rep,63.0,752,ND
2012,2012-10-21,2012-house,2012 North Dakota House: At-Large Distict,3.44,Likely Voters,1,Cramer,Rep,54.0,807,ND
2012,2012-10-21,2012-house,2012 North Dakota House: At-Large Distict,3.44,Likely Voters,1,Gulleson,Dem,42.0,807,ND
2012,2012-10-21,2012-governor,2012 North Dakota Governor: Dalrymple vs. Taylor,3.44,Likely Voters,1,Dalrymple,Rep,63.0,807,ND
2012,2012-10-21,2012-governor,2012 North Dakota Governor: Dalrymple vs. Taylor,3.44,Likely Voters,1,Taylor,Dem,32.0,807,ND
